virus	virusid	host	hostid	coronavirus
leopardus pardalis gammaherpesvirus 1	27406664	leopardus pardalis	3448404	0
leporid alphaherpesvirus 4	3921008	oryctolagus cuniculus	3434201	0
lesavirus 1	27342556	lemur catta	3433321	0
lesavirus 2	27342558	varecia variegata	3433329	0
lesser horseshoe bat adenovirus 1	27589161	rhinolophus hipposideros	3524426	0
lesser indian civet coronavirus guangxi/d690/2005	3886555	viverricula indica	3554692	1
lesser mouse-eared bat adenovirus 1	27589163	myotis blythii	3581335	0
lesser noctule adenovirus 1	27309398	nyctalus leisleri	3494206	0
lesser noctule adenovirus 2	27309400	nyctalus leisleri	3494206	0
lesser noctule adenovirus 3	27309402	nyctalus leisleri	3494206	0
lesser noctule adenovirus 4	27309404	nyctalus leisleri	3494206	0
lesser panda anellovirus	2012640	ailurus fulgens	3433641	0
lianghe virus	26302880	anourosorex squamipes	3604317	0
liao ning virus	3712150	mus musculus	3434366	0
limestone canyon virus	3615086	peromyscus boylii	3488675	0
linda virus	27063176	sus scrofa	3433956	0
livingstone bufavirus	27327782	papio ursinus	3453707	0
lleida bat lyssavirus	26205312	miniopterus schreibersii	3433300	0
lloviu cuevavirus	26205314	miniopterus schreibersii	3433300	0
loei river mammarenavirus	26302922	bandicota indica	3899148	0
lohja virus	26302994	sorex araneus	3464087	0
lonchophylla thomasi simplexvirus 1	3994643	hsunycteris thomasi	3614398	0
longquan aa mouse coronavirus	27581703	apodemus agrarius	3458388	1
longquan aa mouse coronavirus	27581703	rattus losea	3510056	1
longquan aa mouse coronavirus	27581703	rattus norvegicus	3434405	1
longquan loanvirus	26205104	rhinolophus affinis	3494227	0
longquan loanvirus	26205104	rhinolophus monoceros	3642474	0
longquan loanvirus	26205104	rhinolophus sinicus	3546014	0
longquan rl rat coronavirus	26302946	niviventer confucianus	3714425	1
longquan rl rat coronavirus	26302946	rattus losea	3510056	1
longquan rl rat coronavirus	26302946	rattus tanezumi	3452800	1
lophocebus aterrimus adenovirus	1916697	lophocebus aterrimus	3521417	0
lorisid herpesvirus 1	27463390	nycticebus pygmaeus	3567053	0
louping ill virus	3435888	apodemus sylvaticus	3434424	0
louping ill virus	3435888	capra hircus	3434115	0
louping ill virus	3435888	capreolus capreolus	3434013	0
louping ill virus	3435888	cavia porcellus	3434442	0
louping ill virus	3435888	cervus elaphus	3434017	0
louping ill virus	3435888	homo sapiens	3433574	0
louping ill virus	3435888	lepus timidus	3499720	0
louping ill virus	3435888	microtus agrestis	3443349	0
louping ill virus	3435888	myodes glareolus	3891106	0
louping ill virus	3435888	oryctolagus cuniculus	3434201	0
louping ill virus	3435888	ovis aries	3434136	0
louping ill virus	3435888	sus scrofa	3433956	0
loxodonta africana polyomavirus 1	27760195	loxodonta africana	3433889	0
loxodonta africana polyomavirus 1	27760195	loxodonta cyclotis	3564065	0
lucheng rn rat coronavirus	26302948	rattus norvegicus	3434405	1
lujo mammarenavirus	4035530	homo sapiens	3433574	0
lumpy skin disease virus	3494289	antidorcas marsupialis	3494315	0
lumpy skin disease virus	3494289	bos taurus	3434101	0
lumpy skin disease virus	3494289	bubalus bubalis	3546118	0
lumpy skin disease virus	3494289	capra hircus	3434115	0
lumpy skin disease virus	3494289	connochaetes taurinus	3434119	0
lumpy skin disease virus	3494289	damaliscus lunatus	3434123	0
lumpy skin disease virus	3494289	oryx leucoryx	3459038	0
lumpy skin disease virus	3494289	ovis aries	3434136	0
lumpy skin disease virus	3494289	syncerus caffer	3434174	0
luna mammarenavirus	24333459	mastomys natalensis	3434397	0
lunk mammarenavirus	26752259	mus minutoides	3434391	0
lushi ml bat coronavirus	27304458	miniopterus schreibersii	3433300	1
lushi ml bat coronavirus	27304458	murina leucogaster	3658580	1
lutrine adenovirus type 1	2023343	lutra lutra	3433657	0
luxi orthohantavirus	26205318	eothenomys miletus	3723992	0
lymphocryptovirus 1	3682352	ateles belzebuth	3433412	0
lymphocryptovirus 1	3682352	ateles fusciceps	3433414	0
lymphocryptovirus 1	3682352	ateles geoffroyi	3433416	0
lymphocryptovirus 1	3682352	ateles paniscus	3433418	0
lymphocryptovirus 1	3682352	cebus capucinus	3433428	0
lymphocryptovirus 1	3682352	cercocebus atys	3433457	0
lymphocryptovirus 1	3682352	cercopithecus cephus	3433465	0
lymphocryptovirus 1	3682352	cercopithecus hamlyni	3433467	0
lymphocryptovirus 1	3682352	cercopithecus neglectus	3453703	0
lymphocryptovirus 1	3682352	cercopithecus nictitans	3453705	0
lymphocryptovirus 1	3682352	chlorocebus aethiops	3433463	0
lymphocryptovirus 1	3682352	colobus guereza	3449360	0
lymphocryptovirus 1	3682352	colobus polykomos	3433521	0
lymphocryptovirus 1	3682352	erythrocebus patas	3433471	0
lymphocryptovirus 1	3682352	gorilla beringei	3937198	0
lymphocryptovirus 1	3682352	gorilla gorilla	3433550	0
lymphocryptovirus 1	3682352	lagothrix lagotricha	3433433	0
lymphocryptovirus 1	3682352	leontopithecus rosalia	3445689	0
lymphocryptovirus 1	3682352	lophocebus albigena	3521419	0
lymphocryptovirus 1	3682352	lophocebus aterrimus	3521417	0
lymphocryptovirus 1	3682352	macaca fascicularis	3433477	0
lymphocryptovirus 1	3682352	miopithecus talapoin	3453711	0
lymphocryptovirus 1	3682352	pan paniscus	3433556	0
lymphocryptovirus 1	3682352	pan troglodytes	3433558	0
lymphocryptovirus 1	3682352	papio anubis	3433500	0
lymphocryptovirus 1	3682352	piliocolobus badius	3637878	0
lymphocryptovirus 1	3682352	pithecia pithecia	3466650	0
lymphocryptovirus 1	3682352	pongo pygmaeus	3433562	0
lymphocryptovirus 1	3682352	saguinus midas	3445685	0
lymphocryptovirus 1	3682352	saguinus oedipus	3433388	0
lymphocryptovirus 1	3682352	saimiri boliviensis	3441149	0
lymphocryptovirus 1	3682352	saimiri sciureus	3433437	0
lymphocryptovirus 1	3682352	sapajus apella	3433426	0
lymphocryptovirus 1	3682352	symphalangus syndactylus	3433546	0
lymphocryptovirus 2	24657645	cebus albifrons	3433424	0
lymphocryptovirus 2	24657645	cebus capucinus	3433428	0
lymphocryptovirus 2	24657645	cercopithecus neglectus	3453703	0
lymphocryptovirus 2	24657645	chlorocebus aethiops	3433463	0
lymphocryptovirus 2	24657645	gorilla gorilla	3433550	0
lymphocryptovirus 2	24657645	macaca thibetana	3485541	0
lymphocryptovirus 2	24657645	mandrillus sphinx	3433506	0
lymphocryptovirus 2	24657645	papio hamadryas	3433504	0
lymphocryptovirus 2	24657645	piliocolobus badius	3637878	0
